,graph,start_index,starting_neighbors,starting_betweenness,transitivity,components,initial_positive,average_path,iterations,threshold,number_convinced
199,SW,1953,5,21398.56249138926,0.21545274302545894,1,15000,6.9299126943015805,5,10,21040
200,SW,1953,5,21398.56249138926,0.21545274302545894,1,1000,6.9299126943015805,5,20,976
201,SW,1953,5,21398.56249138926,0.21545274302545894,1,5000,6.9299126943015805,5,20,4512
202,SW,1953,5,21398.56249138926,0.21545274302545894,1,10000,6.9299126943015805,5,20,19206
203,SW,1953,5,21398.56249138926,0.21545274302545894,1,15000,6.9299126943015805,5,20,20265
204,SW,13030,6,15282.918852180557,0.21545274302545894,1,1000,6.9299126943015805,5,5,983
205,SW,13030,6,15282.918852180557,0.21545274302545894,1,5000,6.9299126943015805,5,5,19902
206,SW,13030,6,15282.918852180557,0.21545274302545894,1,10000,6.9299126943015805,5,5,21054
207,SW,13030,6,15282.918852180557,0.21545274302545894,1,15000,6.9299126943015805,5,5,21813
208,SW,13030,6,15282.918852180557,0.21545274302545894,1,1000,6.9299126943015805,5,10,979
209,SW,13030,6,15282.918852180557,0.21545274302545894,1,5000,6.9299126943015805,5,10,4534
210,SW,13030,6,15282.918852180557,0.21545274302545894,1,10000,6.9299126943015805,5,10,20149
211,SW,13030,6,15282.918852180557,0.21545274302545894,1,15000,6.9299126943015805,5,10,21073
212,SW,13030,6,15282.918852180557,0.21545274302545894,1,1000,6.9299126943015805,5,20,976
213,SW,13030,6,15282.918852180557,0.21545274302545894,1,5000,6.9299126943015805,5,20,4549
214,SW,13030,6,15282.918852180557,0.21545274302545894,1,10000,6.9299126943015805,5,20,19203
215,SW,13030,6,15282.918852180557,0.21545274302545894,1,15000,6.9299126943015805,5,20,20385
216,SW,20675,8,266740.7017324696,0.21545274302545894,1,1000,6.9299126943015805,5,5,976
217,SW,20675,8,266740.7017324696,0.21545274302545894,1,5000,6.9299126943015805,5,5,19918
218,SW,20675,8,266740.7017324696,0.21545274302545894,1,10000,6.9299126943015805,5,5,20983
219,SW,20675,8,266740.7017324696,0.21545274302545894,1,15000,6.9299126943015805,5,5,21730
220,SW,20675,8,266740.7017324696,0.21545274302545894,1,1000,6.9299126943015805,5,10,978
221,SW,20675,8,266740.7017324696,0.21545274302545894,1,5000,6.9299126943015805,5,10,18792
222,SW,20675,8,266740.7017324696,0.21545274302545894,1,10000,6.9299126943015805,5,10,20016
223,SW,20675,8,266740.7017324696,0.21545274302545894,1,15000,6.9299126943015805,5,10,21097
224,SW,20675,8,266740.7017324696,0.21545274302545894,1,1000,6.9299126943015805,5,20,984
225,SW,20675,8,266740.7017324696,0.21545274302545894,1,5000,6.9299126943015805,5,20,17739
226,SW,20675,8,266740.7017324696,0.21545274302545894,1,10000,6.9299126943015805,5,20,19259
227,SW,20675,8,266740.7017324696,0.21545274302545894,1,15000,6.9299126943015805,5,20,20351
228,SW,21151,6,62648.85216155781,0.21545274302545894,1,1000,6.9299126943015805,5,5,981
229,SW,21151,6,62648.85216155781,0.21545274302545894,1,5000,6.9299126943015805,5,5,19868
230,SW,21151,6,62648.85216155781,0.21545274302545894,1,10000,6.9299126943015805,5,5,20945
231,SW,21151,6,62648.85216155781,0.21545274302545894,1,15000,6.9299126943015805,5,5,21803
232,SW,21151,6,62648.85216155781,0.21545274302545894,1,1000,6.9299126943015805,5,10,979
233,SW,21151,6,62648.85216155781,0.21545274302545894,1,5000,6.9299126943015805,5,10,18901
